Cancer.Alliance,mced_treated
Cheshire and Merseyside Cancer Alliance,1
East Midlands Cancer Alliance,1
East of England - North Cancer Alliance,1
East of England - South Cancer Alliance,0
Greater Manchester Cancer Alliance,1
Humber and North Yorkshire Cancer Alliance,0
Kent and Medway Cancer Alliance,1
Lancashire & South Cumbria Cancer Alliance,0
North Central London Cancer Alliance,0
North East London Cancer Alliance,0
Northern Cancer Alliance,1
Peninsula Cancer Alliance,0
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",0
South East London Cancer Alliance,1
South Yorkshire Cancer Alliance,0
Surrey and Sussex Cancer Alliance,0
Thames Valley Cancer Alliance,0
Wessex Cancer Alliance,0
West London Cancer Alliance,0
West Midlands Cancer Alliance,1
West Yorkshire and Harrogate Cancer Alliance,0