From 'MaxCalc - cancer and population' sheet in 'Cancer+Prevalence+Statistics+England+2020_download.xlsx',,,,
Cancer Alliance,Sum of Rate,Sum of Count,MCED,population
Cheshire and Merseyside Cancer Alliance,4256.8,106587,1,2503923
East Midlands Cancer Alliance,3971.7,186534,1,4696578
East of England - North Cancer Alliance,4492.4,131025,1,2916592
East of England - South Cancer Alliance,3888.6,141795,0,3646428
Greater Manchester Cancer Alliance,3647.8,105127,1,2881929
Humber and North Yorkshire Cancer Alliance,4453.7,76101,0,1708714
Kent and Medway Cancer Alliance,4074.5,76120,1,1868205
Lancashire & South Cumbria Cancer Alliance,4241.7,72179,0,1701653
North Central London Cancer Alliance,3004.5,45866,0,1526577
North East London Cancer Alliance,2509.9,51114,0,2036495
West London Cancer Alliance,3240.6,117350,0,3621243
Northern Cancer Alliance,4199.2,125995,1,3000452
Peninsula Cancer Alliance,4880.5,87131,0,1785288
"Somerset, Wiltshire, Avon and Gloucestershire Cancer Alliance",4351.4,135056,0,3103737
South East London Cancer Alliance,3167.4,57590,1,1818211
South Yorkshire Cancer Alliance,3806.2,58362,0,1533340
Surrey and Sussex Cancer Alliance,4354.5,152875,0,3510736
Thames Valley Cancer Alliance,4275.3,73682,0,1723435
Wessex Cancer Alliance,4723.9,123211,0,2608247
West Midlands Cancer Alliance,3917.2,233542,1,5961963
West Yorkshire and Harrogate Cancer Alliance,3761.9,90154,0,2396502